Date ;Region id ;Region ;DL ;Danger level ;Problem order ;Problem ;Cause/ weaklayer ;Type ;Size ;Trigger ;Probability ;Distribution
2014-04-27 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-04-28 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;3 - Store ;Stor tilleggsbelastning ;Mulig  ;
2014-04-28 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-04-29 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-04-30 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-05-01 ;112 ;Bardu ;1 ;1 Liten ;0 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-05-02 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Ubunden snø ;Tørre løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-02 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
2014-05-03 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Ubunden snø ;Tørre løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-03 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
2014-05-04 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Ubunden snø ;Tørre løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-04 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
