Dato ;Region ;Kommune ;Dødsfall ;Alvorsgrad ;Involverte ;Aktivitet ;Faregrad ;Skredproblem 1 ;Skredtype 1 ;Svaktlag 1 ;Skredproblem 2 ;Skredtype 2 ;Svaktlag 2 ;Skredproblem 3 ;Skredtype 3 ;Svaktlag 3 ;Kommentar ;regObs
2018-04-06 ;Romsdal ;Nesset ;0 ;Nestenulykke ;4 ;Ski ;3 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Gruppe med skiløpere utløste skred. Ingen tatt. Ingen skadet. ;156817
2018-04-06 ;Sunnmøre ;Stranda ;0 ; ;1 ;Ski ;2 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløperutløst skred. Klarte å kjøre fra skredet. Ikke skadet. ;156802
2018-04-06 ;Jotunheimen ;Lom ;0 ;Personer skadet ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløperutløst skred. En helt begravd. Klarte å gave seg selv ut. Ikke skadet. ;156854
2018-04-06 ;Hallingdal ;Hemsedal ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;156786
2018-04-06 ;Sunnmøre ;Stranda ;0 ; ;1 ;Ski ;2 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Persoutløst skred. Ingen tatt. Ingen skadet. ;156843
2018-04-06 ;Sunnmøre ;Ørsta ;0 ; ;2 ;Ski ;2 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløpere utløste skred. En tatt uten å bli begravet. Ingen skadet. ;156858
2018-04-06 ;Sunnmøre ;Stranda ;0 ; ;1 ;Ski ;2 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skred fjernutløst av skiløper. Ingen tatt. Ingen skadet. ;156703
2018-04-06 ;Oppland sør ;Ringeby ;0 ; ;1 ;Ski offpist ; ; ; ; ; ; ; ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;156728
2018-04-05 ;Lofoten og Vesterålen ;Vestvågøy ;0 ; ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper utløste skred. Igjen tatt. Ingen skadet. ;156564
2018-04-05 ;Nord-Troms ;Nordreisa ;0 ;Leteaksjon igangsatt ;9 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Gruppe på 9 utløste mest sannsynlig skred. Ingen tatt? Ingene skadet. ;156577
2018-04-04 ;Vest-Finnmark ;Kvænangen  ;0 ;Personer skadet ;12 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Grupp på 12 utløste skred. Alle tatt. En begravd. Ingen skadet. ;156289
2018-04-03 ;Sør-Troms ;Gratangen ;0 ;Leteaksjon igangsatt ;3 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløperutløst skred. Ingen tatt?. Ingen skadet? ;156008
2018-04-03 ;Ofoten ;Narvik ;0 ;Nestenulykke ;1 ;Ski offpist ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløperutløst skred. En tatt? Ingen skadet. ;155929
2018-04-02 ;Lofoten og Vesterålen ;Sortland ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløper fjernutløser skred. Ingen tatt. Ingen skadet. ;155987
2018-04-02 ;Lyngen ;Tromsø ;0 ;Påvirket ingenting ;2 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Fjernutløste skred av skiløpere. Ingen tatt. Ingen skadet. ;155653
2018-04-01 ;Lofoten og Vesterålen ;Vågan ;1 ;Personer omkommet ;2 ;Ski ;3 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst skred. En tatt. En omkom. ;155976
2018-04-01 ;Indre Troms ;Balsfjord ;0 ; ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;155413
2018-04-01 ;Lyngen ;Lyngen ;0 ; ;4 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Gruppe fjernutløste skred. Ingen tatt. Ingen skadet ;155421
2018-04-01 ;Lyngen ;Tromsø ;0 ; ;2 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløpere fjernutløste skred. Ingen tatt. Ingen skadet. ;155488
2018-04-01 ;Indre Sogn ;Sogndal ;0 ; ;2 ;Ski ;2 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;155543
2018-04-01 ;Nord-Troms ;Kåfjord ;0 ;Påvirket ingenting ;2 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skred fjernutløst av skiløpere. Ingen tatt. Ingen skadet. ;155476
2018-04-01 ;Indre Troms ;Balsfjord ;0 ; ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;155385
2018-04-01 ;Lyngen ;Lyngen ;0 ;Påvirket ingenting ;4 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Gruppe skiløpere utløste skred. Ingen tatt? Ingen skadet. ;155425
2018-04-01 ;Lyngen ;Lyngen ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;155373
2018-04-01 ;Indre Troms ;Balsfjord ;0 ; ;2 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløpere utløste skred. Mulig en ble tatt. Ingen skadet. ;155335
2018-03-31 ;Sunnmøre ;Norddal ;0 ;Påvirket ingenting ;10 ;Ski ;2 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Skredutløst av gruppe skiløpere. Ingen tatt. Ingen skadet. ;155336
2018-03-31 ;Nord-Troms ;Kåfjord ;0 ;Påvirket ingenting ;1 ;Ski ;4 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skred fjernutløst mest sannsynlig av skiløper. Ingen tatt. Ingen skadet. ;155287
2018-03-31 ;Sunnmøre ;Norddal ;0 ;Nestenulykke ;3 ;Ski ;2 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Skiløpere utløste flakskred. Ingen tatt?. Ingen skadet ;155267
2018-03-31 ;Lofoten og Vesterålen ;Hadsel ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;155273
2018-03-31 ;Ofoten ;Narvik ;0 ;Nestenulykke ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper utløste skred. Ingen tatt. Ingen skadet. ;155459
