Comment;TripRegistrationTime;TripID;GeoHazardTID;ObserverID;IsFinished;TripTypeName;DeviceID;ObsLocationID;ObservationExpectedTime;TripTypeTID;TripFinishedTime
Kurs tur. Ser etter fokksnoeproblem.;2015-12-09 12:06:09;671;10;1578;True;Tillegg ihht. obsavtale;f7a748a1-7f50-4a85-5c20-84117ea6f3a9;29051;2015-12-09 17:00:00;30;2015-12-09 16:32:39
Kurstur, ser etter fokksnoe.;2015-12-09 12:06:19;672;10;1083;True;Ordinaer ihht. obsavtale;7d53c034-4e66-456b-6ca4-d1c9a22a90bb;29052;2015-12-09 17:00:00;20;2015-12-09 17:08:39
Kurstur;2015-12-09 12:06:38;673;10;759;True;Privat;87074761-08f1-4d6b-3831-9231fbc29ec5;29053;2015-12-09 17:00:00;60;2015-12-09 18:23:13
Kurstur;2015-12-09 12:07:01;674;10;1068;True;Privat;9ea9a275-f7ec-43c1-ecf3-52f2112c7fba;29054;2015-12-09 17:00:00;60;2015-12-09 16:29:33
Vi er paa vei ut naa. Skal sjekke mildvaersgrense og fokksnoemengde i N/NOE.;2015-12-09 12:07:42;675;10;740;True;Ansatt;df7b51aa-4380-49b5-df0a-74c542c48a06;29055;2015-12-09 16:00:00;50;2015-12-09 16:57:35
Obskurs. Sjekke mildboersgrense + fokksnoe OE NOE;2015-12-09 12:07:56;676;10;1598;True;Ordinaer ihht. obsavtale;2df89358-85e7-4568-cfbb-c2d97504429a;29056;2015-12-09 17:00:00;20;2015-12-09 16:38:23
;2015-12-09 12:09:42;677;10;108;True;Ansatt;85405e5d-5b7e-4483-d705-2ab9f0d7dd67;29057;2015-12-09 16:00:00;50;2015-12-09 16:51:15
Skal se hvor langt opp mildvaeret tok, og hva det har gjort med snoedekket. Skal ogsaa se etter fokksnoe/fersk vindtransportert i N-SOE vendte sider.;2015-12-09 12:09:48;678;10;1634;True;Ansatt;fddcd5b3-a4dc-4416-6969-6d7b9bc99543;29058;2015-12-09 17:00:00;50;2015-12-09 16:11:12
Solgladfjellet;2015-12-09 12:23:06;679;10;762;True;Ordinaer ihht. obsavtale;445b0082-6a6e-45be-73a7-e68df1df886f;29059;2015-12-09 15:00:00;20;2015-12-09 16:50:15
Solglad, hemsedal;2015-12-09 12:23:10;680;10;1664;True;Ansatt;9d74a565-13b4-4014-1c9f-ecac6dfdb9f7;29060;2015-12-09 16:00:00;50;2015-12-09 23:00:00
;2015-12-09 12:24:22;681;10;1646;True;Ordinaer ihht. obsavtale;af046cc1-b114-4ac8-2301-7fe45599c0ed;29061;2015-12-09 15:00:00;20;2015-12-09 16:50:40
Kurstur;2015-12-09 12:24:26;682;10;1243;True;Ordinaer ihht. obsavtale;f6840ab4-152a-496f-5af6-833e71aa7727;29062;2015-12-09 15:00:00;20;2015-12-09 16:50:12
Solgladberge.;2015-12-09 12:24:29;683;10;1610;True;Ordinaer ihht. obsavtale;a1898330-dcf2-4121-4cca-c618eab9d125;29063;2015-12-09 17:00:00;20;2015-12-09 17:08:58
Raudbergstulen. Flere fjellveger er ikke broeytet / stengt i dag pga vanskelige foereforhold.;2015-12-09 12:51:37;684;10;25;True;Ordinaer ihht. obsavtale;93fa7fa1-b7da-41cd-e087-3b84caa4d3cc;29076;2015-12-09 14:00:00;20;2015-12-09 23:00:00
Olahansen i Dvergsdalsdalen i Joelster;2015-12-09 13:44:13;685;10;544;True;Ordinaer ihht. obsavtale;2f1eaaad-b14c-4259-01cf-6b4b9cb90b02;29089;2015-12-09 17:00:00;20;2015-12-09 18:20:14
;2015-12-10 09:40:43;686;10;271;True;Ordinaer ihht. obsavtale;8fd92281-32c3-4994-17c5-5024f9665ef1;29147;2015-12-10 14:00:00;20;2015-12-10 13:26:43
Skal se hvor mye fokksnoe det er kommet i skoggrensen etter vinden som var i gaar kveld/natt, og hvor god binding det er i den.;2015-12-10 09:49:45;687;10;1634;True;Ansatt;d0b70eb8-c78d-467e-fc3a-38d3e6585e5e;29148;2015-12-10 13:00:00;50;2015-12-10 12:02:45
;2015-12-10 09:51:59;688;10;746;True;Tillegg ihht. obsavtale;0c944237-5c9f-43d6-6804-70ba6c9ecdb0;29149;2015-12-10 12:00:00;30;2015-12-10 23:00:01
Se etter daarlige bindinger i fokksnoeen;2015-12-10 09:53:54;689;10;108;True;Ansatt;cfc710fb-6aa0-4388-4fef-d1f851b2697f;29151;2015-12-10 13:00:00;50;2015-12-10 13:07:16
Se paa hvor mye vindtransportert snoe som er kommet siden i gaar. Hvordan har den bundet seg til tidligere fokksnoe.;2015-12-10 09:55:13;690;10;1598;True;Privat;72d09645-6afd-41a9-6f93-2ee6a2b63991;29152;2015-12-10 13:00:00;60;2015-12-10 11:58:13
Harahorn;2015-12-10 09:56:25;691;10;762;True;Privat;db67cfdf-aaee-428a-dd70-75d898b06efe;29154;2015-12-10 14:00:00;60;2015-12-10 23:00:01
;2015-12-10 09:57:29;692;10;1243;True;Ordinaer ihht. obsavtale;b4bc17e2-40d5-4201-6c26-e52884f0fe2b;29155;2015-12-10 13:00:00;20;2015-12-10 23:00:01
;2015-12-10 09:58:22;693;10;1653;True;Ordinaer ihht. obsavtale;79967ff1-fdae-4e84-fef0-afe39cccae56;29156;2015-12-10 13:00:00;20;2015-12-10 23:00:01
;2015-12-10 10:00:03;694;10;1664;True;Ansatt;a750479a-b131-4871-20f4-d3b58ef405e1;29157;2015-12-10 12:00:00;50;2015-12-10 12:44:38
Gruppetur fra Harahorn hotel;2015-12-10 10:00:28;695;10;1610;True;Ordinaer ihht. obsavtale;c011f781-1930-4f8f-6953-7f8de9834db5;29158;2015-12-10 13:00:00;20;2015-12-10 12:39:45
