Dato;Døde;Involvert;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse
29.03.18;0;2;Ski;M;Storforrdalen;Tjeldsund;Troms;154448;;Skiløpere fjernutløste skred. Ingen tatt. Ingen skadet.
29.03.18;1;1;Snøskuter;M;Kildalen;Nordreisa;Troms;154642;;Snøskooter utløste skred. En tatt og omkom.
28.03.18;0;1;Ski;K;Solligården;Tromsø;Troms;154235;;Skiløperutløst skred. En tatt, ikke begravet men skadet. Fraktet til sykehus
28.03.18;0;2;Ski;M;Giilavarri;Kåfjord;Troms;154152;;Skiløpere utløste skred. En tatt, men kom seg ut ved egen hjelp. Ingen skadet.
28.03.18;0;1;Ski;M;Blåfjellet;Skånland;Troms;154364;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
28.03.18;0;1;Ski offpist;M;Svandalen skisenter;Sauda;Roga.;154285;;Skiløperutløst skred. En ført med skredet. Kom seg ut ved egen hjelp. Ingen skadet.
27.03.18;0;2;Ski;M;Risenosa;Ørsta;M&R;153963;;Skiløperutløst skred. En tatt og delvis begravd. Kommer seg ut ved egen hjelp. Ingen skadet.
27.03.18;0;3;Ski;M;Storelvtinden;Alta;Finn.;153881;;Skiløpere fjernutløste lite skred. En ble så vidt truffet. Ingen skadet.
27.03.18;0;1;Ski;M;Vigdalstølen;Luster;S&F;153875;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
27.03.18;0;1;Ski;M;Stortinden;Sortland;Nord.;153830;;Skiløper fjernuløste flere skred. Ingen tatt. Ingen skadet.
26.03.18;0;3;Ski;M;Fingeren;Ørsta;M&R;153516;;Skiløperutløst skred. To tatt. Ingen skadet
26.03.18;0;1;Ski;M;Myrhyra;Luster;S&F;153539;;Lite skred fjernutløst? av skiløper. Ingen tatt. Ingen skadet.
26.03.18;0;1;Ski;M;Fingeren;Ørsta;M&R;153414;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
26.03.18;0;1;Ski;M;Sørkjosen;Nordreisa;Troms;153510;;Skiløper fjernutløste flere små skred. Ingen tatt. Ingen skadet.
26.03.18;0;1;Ski;M;Rottenvik;Lyngen;Troms;153515;;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet.
25.03.18;0;1;Ski;M;Djupvik;Nordreisa;Troms;153125;;Skiløper?utløst skred. Ingen skadet.
25.03.18;0;2;Ski;M;Steinhøe;Luster;S&F;153148;;Skiløpere fjernutløste lite skred. Ingen tatt. Ingen skadet.
25.03.18;0;2;Ski;M;Solskinnstoppen;Lom;Oppl.;153162;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
25.03.18;0;2;Ski;M;Ulvot;Lom;Oppl.;153110;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
24.03.18;0;8;Ski;M;Kvannkjostinden;Hadsel;Nord.;152926;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
24.03.18;0;1;Ski;M;Hestdalstuva;Steigen;Nord.;152928;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
24.03.18;0;1;Ski;M;Fagerfjellet;Tromsø;Troms;152884;;Skiløperutløst lite skred. 
24.03.18;0;1;Ski;M;Svarteberg;Lærdal;S&F;152890;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
23.03.18;0;1;Ski;M;Slettebotnen;Førde;S&F;152735;;Skiløperutløst skred. En tatt. Ingen skadet.
23.03.18;0;2;Ski;M;Langlitinden;Ibestad;Troms;152693;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
23.03.18;0;1;Ski;M;Langlitinden;Ibestad;Troms;152586;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
22.03.18;0;1;Ski;M;Galten;Øksnes;Nord.;152460;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
22.03.18;0;1;Ski;M;Rundhøe;Lom;Oppl.;152416;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
21.03.18;0;1;Ski;M;Raften;Hadsel;Nord.;152145;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
20.03.18;0;2;Ski;M;Ranten;Sigdal;Busk.;152077;;Skiløperutløst skred. 
20.03.18;0;2;Ski;M;Melkefjellet;Balsfjord;Troms;152167;;Skiløperutløst skred. En tatt, men holdt seg på beina. Ingen skadet.
20.03.18;0;4;Ski;M;Gaustatoppen;Tinn;Tele.;152004;;Skiløperutløst skred. En tatt. Fløt oppå. Ingen skadet.
20.03.18;0;3;Ski;M;Gravdalen;Luster;S&F;151941;;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet.
20.03.18;0;1;Ski;M;Steinberget;Rauma;M&R;151882;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
20.03.18;0;1;Ski;M;Fursetnakken;Stranda;M&R;151900;;Skiløperutlsøt skred. Ingen tatt. Ingen skadet.
20.03.18;0;1;Ski;M;Roggevaggi;Alta;Finn.;151907;;Skiløperutløst skred. Ingen tatt. Ingen skadet
20.03.18;0;2;Ski;M;Sjufjellet;Balsfjord;Troms;151813;;Fjernutløst skred. Ingen tatt. Ingen skadet
20.03.18;0;1;Ski;M;Røgjin;Hemsedal;Busk.;151889;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
20.03.18;0;1;Ski;M;Gammelgårdsfjellet;Tromsø;Troms;151815;;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet.
20.03.18;0;2;Ski;M;Skørnøse;Vang;Oppl.;151895;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
20.03.18;0;1;Snøbrett;M;Prestauran;Oppdal;S-T;151852;;Snowboarder utløste skred. Ingen tatt. Ingen skadet.
20.03.18;0;1;Snøskuter;M;Sørskogen;Bardu;Troms;151933;;Snøscooter fjernutløste lite skred. Ingen tatt. Ingen skadet
19.03.18;0;0;Bil;N;Sel;Sel;Oppl.;151383;;Naturlig utløst skred over vei. Ingen biler tatt eller begravd
19.03.18;0;4;Ski;M;Kistrandfjellet;Fauske;Nord.;151721;;Skiløpere utløste skred. Fire tatt. Delvis begravd. Ingen skadet,
19.03.18;0;1;Ski;M;Vargfjellet;Ballangen;Nord.;151637;;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet.
